Orthogroup	Bacillus_subtilis_aa	Deinococcus_radiodurans_aa	Rhodococcus_erythropolis_aa
OG0000170	CAB12360.1, CAB12361.1, CAB12533.1, CAB13163.1, CAB14728.1	UDK99262.1	
OG0000171	CAB12365.1		ALU67662.1, ALU68902.1, ALU69342.1, ALU71210.1, ALU71355.1
OG0000172	CAB12371.1	UDK99455.1, UDL02013.1	ALU69419.1, ALU69567.1, ALU70311.1
OG0000173	CAB12516.2, CAB14835.2, CAB15250.1, CAB15421.1, CAB15466.1	UDK99741.1	
OG0000174	CAB12530.1, CAB14834.1, CAB14992.2, CAB15006.1, CAB15249.1		ALU69248.1
OG0000175	CAB12591.1, CAB16107.1	UDK99832.1, UDL00113.1, UDL01731.1	ALU69344.1
OG0000176	CAB12687.1	UDL01547.1	ALU70210.1, ALU70298.1, ALU71436.1, ALU73396.1
OG0000177	CAB12843.1	UDL00707.1	ALU71185.1, ALU72840.1, ALU72864.1, ALU73115.1
OG0000178	CAB12993.1, CAB13003.1, CAB13152.1	UDL00659.1	ALU68154.1, ALU73513.1
OG0000179	CAB13041.1, CAB16105.1, CAB16109.1	UDL01026.1	ALU71432.1, ALU72415.1
OG0000180	CAB13270.2, CAB13369.1	UDK99649.1, UDL00154.1, UDL00548.1, UDL00642.1	
OG0000181	CAB13363.2, CAB15842.1	UDL01610.1	ALU69638.1, ALU71609.1, ALU72651.1
OG0000182	CAB13463.1, CAB13582.1, CAB13583.2, CAB13584.3	UDL00997.1	ALU70469.1
OG0000183	CAB13707.1, CAB14365.2	UDK99323.1	ALU71723.1, ALU71789.1, ALU72045.1
OG0000184	CAB13838.2	UDK99634.1, UDL00333.1	ALU69922.1, ALU69986.1, ALU72257.1
OG0000185	CAB14095.1	UDK99747.1	ALU68777.1, ALU69916.1, ALU70615.1, ALU71918.1
OG0000186	CAB14123.1, CAB15233.1, CAB15234.1, CAB15820.2	UDL01949.1	ALU71803.1
OG0000187	CAB14132.1, CAB14156.1	UDL00017.1	ALU70265.1, ALU70553.1, ALU73383.1
OG0000188	CAB14162.1, CAB14421.2, CAB15439.1	UDL00648.1	ALU71597.1, ALU72766.1
OG0000189	CAB14212.2, CAB15806.2	UDL00126.1, UDL00127.1, UDL00796.1	ALU70304.1
OG0000190	CAB14332.2, CAB14600.1, CAB15137.2	UDK99656.1, UDL01199.1	ALU71638.1
OG0000191	CAB14389.1, CAB15645.1	UDL02260.1	ALU70187.1, ALU71887.1, ALU73333.1
OG0000192	CAB14854.2	UDL00459.1, UDL01648.1	ALU68743.1, ALU69711.1, ALU71736.1
OG0000193	CAB14946.1	UDK99644.1, UDL01482.1	ALU67750.1, ALU69622.1, ALU73518.1
OG0000194	CAB15029.1	UDL00631.1, UDL01527.1	ALU68896.1, ALU68924.1, ALU72341.1
OG0000195	CAB15247.1, CAB15609.1	UDL00621.1, UDL01334.1, UDL01834.1	ALU68956.1
OG0000196	CAB15258.1	UDK99352.1	ALU67695.1, ALU67961.1, ALU69861.1, ALU71034.1
OG0000197	CAB15307.1	UDL01578.1, UDL02152.1	ALU68890.1, ALU70886.1, ALU72686.1
OG0000198	CAB15376.1, CAB15386.1	UDL01908.1	ALU69288.1, ALU70046.1, ALU70047.1
OG0000199	CAB15619.1	UDK99792.1, UDL02083.1	ALU68301.1, ALU69502.1, ALU71822.1
OG0000200	CAB15917.1	UDK99618.1	ALU70959.1, ALU71173.1, ALU71579.1, ALU71768.1
OG0000201		UDK99313.1, UDK99371.1, UDL00965.1, UDL01327.1, UDL01548.1, UDL02268.1	
OG0000202		UDK99594.1, UDK99902.1, UDL01436.1, UDL01829.1, UDL01912.1, UDL01974.1	
OG0000203		UDL01272.1	ALU67692.1, ALU67803.1, ALU67920.1, ALU73584.1, ALU73586.1
OG0000204		UDL01903.1	ALU67810.1, ALU70952.1, ALU71209.1, ALU71954.1, ALU72854.1
OG0000205		UDL02248.1	ALU68512.1, ALU69159.1, ALU71339.1, ALU71500.1, ALU72683.1
OG0000206			ALU67680.1, ALU68722.1, ALU68852.1, ALU69311.1, ALU71426.1, ALU72332.1
OG0000207			ALU67833.1, ALU68000.1, ALU68659.1, ALU70629.1, ALU70664.1, ALU71919.1
OG0000208			ALU67889.1, ALU68067.1, ALU68441.1, ALU68631.1, ALU70803.1, ALU71463.1
OG0000209			ALU68005.1, ALU68166.1, ALU71389.1, ALU73049.1, ALU73287.1, ALU73364.1
OG0000210			ALU68097.1, ALU68900.1, ALU69680.1, ALU71931.1, ALU72264.1, ALU72688.1
OG0000211			ALU68157.1, ALU68161.1, ALU69421.1, ALU69478.1, ALU72214.1, ALU73517.1
OG0000212			ALU68207.1, ALU68418.1, ALU68694.1, ALU69529.1, ALU72099.1, ALU73461.1
OG0000213			ALU68393.1, ALU69122.1, ALU69180.1, ALU69224.1, ALU72667.1, ALU72728.1
OG0000214			ALU68483.1, ALU68655.1, ALU69262.1, ALU73444.1, ALU73448.1, ALU73467.1
OG0000215			ALU68526.1, ALU68545.1, ALU68729.1, ALU69213.1, ALU69532.1, ALU71810.1
OG0000216			ALU69064.1, ALU69116.1, ALU70313.1, ALU72492.1, ALU73026.1, ALU73533.1
OG0000217			ALU69429.1, ALU69715.1, ALU69717.1, ALU70393.1, ALU70786.1, ALU72653.1
OG0000218			ALU69455.1, ALU69456.1, ALU69457.1, ALU71784.1, ALU71785.1, ALU71788.1
OG0000219			ALU69553.1, ALU69820.1, ALU69821.1, ALU71140.1, ALU71678.1, ALU72961.1
OG0000220	CAB11794.1, CAB13174.1	UDL01622.1	ALU67912.1, ALU68929.1
OG0000221	CAB11824.1	UDK99249.1, UDL01518.1	ALU68351.1, ALU71131.1
OG0000222	CAB11882.1, CAB15717.1	UDK99443.1, UDK99652.1	ALU70236.1
OG0000223	CAB11936.2, CAB13043.1	UDL01512.1, UDL01667.1	ALU72839.1
OG0000224	CAB11944.3, CAB12609.1, CAB15831.3, CAB15867.1, CAB15963.2		
OG0000225	CAB12022.1, CAB13200.1, CAB13702.1	UDL01603.1, UDL01926.1	
OG0000226	CAB12030.1, CAB15507.1		ALU70196.1, ALU72661.1, ALU72912.1
OG0000227	CAB12036.2, CAB12604.1, CAB13695.1, CAB14741.2	UDL02257.1	
OG0000228	CAB12040.2, CAB13550.1		ALU69734.1, ALU71314.1, ALU72917.1
OG0000229	CAB12084.1	UDL01249.1, UDL01253.1	ALU67655.1, ALU70103.1
OG0000230	CAB12117.2, CAB15180.2		ALU68643.1, ALU72996.1, ALU73402.1
OG0000231	CAB12129.2		ALU69247.1, ALU70286.1, ALU70407.1, ALU72268.1
OG0000232	CAB12130.1	UDL01428.1	ALU68290.1, ALU71633.1, ALU72463.1
OG0000233	CAB12179.1, CAB12607.1, CAB13661.1, CAB15297.1, CAB15599.1		
OG0000234	CAB12180.1, CAB12605.1, CAB13660.1, CAB15296.1, CAB15598.2		
OG0000235	CAB12183.1, CAB14871.2, CAB16078.1	UDL01270.1	ALU72249.1
OG0000236	CAB12199.1	UDL01783.1	ALU67666.1, ALU69750.1, ALU73573.1
OG0000237	CAB12217.2	UDL00290.1	ALU68822.1, ALU68942.1, ALU69101.1
OG0000238	CAB12240.1	UDK99220.1, UDK99523.1, UDL00166.1	ALU71612.1
OG0000239	CAB12261.1, CAB12354.2, CAB12451.1	UDL00360.1	ALU70709.1
OG0000240	CAB12265.2, CAB15947.2	UDL00710.1	ALU70080.1, ALU71714.1
OG0000241	CAB12268.1, CAB14418.2	UDL01039.1	ALU68197.1, ALU70271.1
OG0000242	CAB12274.1, CAB13177.1, CAB13837.1, CAB14407.2	UDL02161.1	
OG0000243	CAB12321.1, CAB15790.1	UDL00415.1	ALU70630.1, ALU72125.1
OG0000244	CAB12332.1	UDL00363.1	ALU68502.1, ALU72043.1, ALU72083.1
OG0000245	CAB12344.1, CAB12927.2	UDL00171.1, UDL00678.1	ALU71825.1
OG0000246	CAB12434.1, CAB13090.1, CAB13572.1	UDL01714.1	ALU70453.1
OG0000247	CAB12454.2	UDL00007.1, UDL01040.1	ALU68922.1, ALU70381.1
OG0000248	CAB12501.2, CAB13792.1, CAB14076.2, CAB14527.1, CAB15636.1		
OG0000249	CAB12578.1, CAB15283.1, CAB15335.1	UDL02245.1	ALU67923.1
OG0000250	CAB12580.1	UDL02247.1	ALU68111.1, ALU68509.1, ALU69840.1
OG0000251	CAB12623.1, CAB13294.2	UDL01042.1	ALU68931.1, ALU71659.1
OG0000252	CAB12629.1	UDL01418.1, UDL02105.1	ALU69238.1, ALU70038.1
OG0000253	CAB12639.1, CAB14096.1, CAB14341.1, CAB14650.2, CAB16072.1		
OG0000254	CAB12701.1, CAB14440.2	UDL01361.1	ALU67800.1, ALU72656.1
OG0000255	CAB12749.2, CAB13019.1, CAB13420.3	UDL00858.1	ALU70608.1
OG0000256	CAB12751.1, CAB13368.2, CAB14948.1	UDL00136.1	ALU71425.1
OG0000257	CAB12754.2, CAB13865.1	UDL01898.1	ALU68335.1, ALU71264.1
OG0000258	CAB12758.2	UDL00161.1	ALU69588.1, ALU71296.1, ALU71819.1
OG0000259	CAB12793.1	UDL01576.1	ALU68023.1, ALU68024.1, ALU71591.1
OG0000260	CAB12808.2, CAB15961.1	UDL01165.1, UDL01382.1	ALU72758.1
OG0000261	CAB12857.1, CAB12974.1	UDL00998.1, UDL00999.1	ALU72738.1
OG0000262	CAB12874.1	UDK99475.1, UDL00504.1, UDL01963.1	ALU71717.1
OG0000263	CAB13044.1, CAB13045.1, CAB14667.1	UDL00071.1	ALU69915.1
OG0000264	CAB13065.2, CAB13361.1	UDL00014.1, UDL01608.1	ALU71046.1
OG0000265	CAB13171.1, CAB13173.1	UDL00923.1	ALU69453.1, ALU73665.1
OG0000266	CAB13194.1, CAB13278.2	UDL01365.1	ALU69206.1, ALU70873.1
OG0000267	CAB13226.1, CAB13239.1, CAB13272.1, CAB13322.1, CAB15134.2		
OG0000268	CAB13288.1, CAB13290.2, CAB15511.1	UDL01957.1	ALU73572.1
OG0000269	CAB13422.2	UDL01302.1	ALU68328.1, ALU68336.1, ALU71272.1
OG0000270	CAB13464.1	UDL00995.1	ALU68753.1, ALU69021.1, ALU73323.1
OG0000271	CAB13487.1, CAB14283.2	UDL02287.1	ALU70833.1, ALU71498.1
OG0000272	CAB13506.1, CAB13515.2, CAB13678.1, CAB15730.1		ALU70764.1
OG0000273	CAB13544.2, CAB13559.2, CAB15769.1	UDL01521.1	ALU71391.1
OG0000274	CAB13549.2, CAB14807.1, SOX90588.1	UDL00479.1	ALU67828.1
OG0000275	CAB13589.3, CAB13602.3, CAB13603.3, CAB13604.3, CAB13606.2		
OG0000276	CAB13613.1, CAB13614.1, CAB15362.1		ALU71450.1, ALU71451.1
OG0000277	CAB13701.1, CAB15063.1, CAB15584.1		ALU69794.1, ALU72566.1
OG0000278	CAB13725.1, CAB14604.1, CAB14608.2, CAB15281.1, CAB15633.1		
OG0000279	CAB13750.2, CAB15756.2, CAB16130.1	UDK99584.1	ALU71200.1
OG0000280	CAB13764.1	UDK99225.1, UDK99241.1, UDL00705.1	ALU72752.1
OG0000281	CAB13811.1, CAB15412.2	UDL01789.1	ALU68283.1, ALU69482.1
OG0000282	CAB13812.1, CAB15411.1	UDL01790.1	ALU68284.1, ALU69481.1
OG0000283	CAB13823.1	UDL02095.1	ALU68516.1, ALU72056.1, ALU72066.1
OG0000284	CAB14117.1	UDL00232.1	ALU68036.1, ALU70372.1, ALU70484.1
OG0000285	CAB14128.1, CAB16010.1	UDL01551.1	ALU71867.1, ALU73567.1
OG0000286	CAB14178.2	UDL01472.1	ALU67928.1, ALU69099.1, ALU70691.1
OG0000287	CAB14268.1	UDK99436.1, UDL00953.1, UDL01772.1	ALU68198.1
OG0000288	CAB14320.1, CAB16141.1	UDL01754.1	ALU68217.1, ALU69450.1
OG0000289	CAB14322.2, CAB15918.1	UDL01500.1	ALU69228.1, ALU72870.1
OG0000290	CAB14346.2, CAB15745.1	UDL00379.1	ALU69211.1, ALU71996.1
OG0000291	CAB14362.1	UDL00026.1	ALU70762.1, ALU71890.1, ALU73447.1
OG0000292	CAB14652.1	UDL01045.1	ALU67932.1, ALU68696.1, ALU70178.1
OG0000293	CAB14674.1	UDL00297.1, UDL01394.1, UDL01739.1	ALU69920.1
OG0000294	CAB14837.1, CAB15219.1		ALU70824.1, ALU72350.1, ALU72422.1
OG0000295	CAB14967.1	UDK99372.1, UDL01729.1	ALU68014.1, ALU73676.1
OG0000296	CAB14971.2	UDK99461.1, UDK99591.1	ALU70636.1, ALU71606.1
OG0000297	CAB15056.1	UDK99259.1, UDL02206.1	ALU69226.1, ALU72868.1
OG0000298	CAB15121.3	UDK99993.1, UDL01355.1	ALU69204.1, ALU71689.1
OG0000299	CAB15133.1	UDL00556.1	ALU73412.1, ALU73424.1, ALU73695.1
OG0000300	CAB15155.2	UDL01426.1, UDL01670.1	ALU68865.1, ALU70982.1
OG0000301	CAB15237.1	UDL02001.1, UDL02003.1	ALU68338.1, ALU68392.1
OG0000302	CAB15245.1, CAB15907.1	UDL01183.1	ALU68311.1, ALU70030.1
OG0000303	CAB15248.1	UDL00542.1	ALU68314.1, ALU69249.1, ALU70029.1
OG0000304	CAB15371.1, CAB15372.1		ALU68308.1, ALU71305.1, ALU72286.1
OG0000305	CAB15430.1	UDL01814.1	ALU69883.1, ALU72553.1, ALU72562.1
OG0000306	CAB15575.1, CAB15640.1		ALU72541.1, ALU72544.1, ALU72555.1
OG0000307	CAB15576.1	UDK99629.1, UDL00352.1	ALU72168.1, ALU72548.1
OG0000308	CAB15673.1	UDL00314.1	ALU70620.1, ALU70675.1, ALU70718.1
OG0000309	CAB15759.1	UDL00730.1, UDL01381.1	ALU67766.1, ALU73702.1
OG0000310	CAB15924.1	UDL01846.1	ALU68948.1, ALU72040.1, ALU72672.1
OG0000311		UDK99992.1, UDL00104.1, UDL00802.1, UDL01494.1	ALU68378.1
OG0000312		UDL00382.1, UDL01973.1	ALU68463.1, ALU69867.1, ALU71575.1
OG0000313		UDL00410.1, UDL00790.1, UDL01006.1, UDL02011.1	ALU73243.1
OG0000314			ALU67665.1, ALU69329.1, ALU72496.1, ALU73023.1, ALU73511.1
OG0000315			ALU67668.1, ALU68018.1, ALU68674.1, ALU68928.1, ALU69774.1
OG0000316			ALU67787.1, ALU68909.1, ALU69058.1, ALU70732.1, ALU72927.1
OG0000317			ALU67983.1, ALU68270.1, ALU69868.1, ALU73403.1, ALU73674.1
OG0000318			ALU68015.1, ALU69039.1, ALU69300.1, ALU69534.1, ALU71271.1
OG0000319			ALU68064.1, ALU68982.1, ALU69220.1, ALU72681.1, ALU73035.1
OG0000320			ALU68239.1, ALU68723.1, ALU69673.1, ALU73332.1, ALU73440.1
OG0000321			ALU68396.1, ALU70184.1, ALU71526.1, ALU73000.1, ALU73373.1
OG0000322			ALU68421.1, ALU69937.1, ALU72992.1, ALU73497.1, ALU73588.1
OG0000323			ALU68538.1, ALU69443.1, ALU69444.1, ALU72191.1, ALU73407.1
OG0000324			ALU68606.1, ALU70793.1, ALU71801.1, ALU71927.1, ALU73395.1
OG0000325			ALU68755.1, ALU69199.1, ALU70089.1, ALU72977.1, ALU72978.1
OG0000326			ALU68831.1, ALU69235.1, ALU69490.1, ALU72351.1, ALU72867.1
OG0000327			ALU68864.1, ALU69685.1, ALU71940.1, ALU72449.1, ALU72633.1
OG0000328			ALU69030.1, ALU69068.1, ALU69505.1, ALU70065.1, ALU72928.1
OG0000329			ALU69259.1, ALU69260.1, ALU69261.1, ALU72127.1, ALU72985.1
OG0000330			ALU69273.1, ALU69278.1, ALU70855.1, ALU72423.1, ALU72427.1
OG0000331			ALU69305.1, ALU69686.1, ALU70760.1, ALU71175.1, ALU71177.1
OG0000332			ALU69414.1, ALU69612.1, ALU70338.1, ALU72331.1, ALU73438.1
OG0000333			ALU69642.1, ALU70440.1, ALU71653.1, ALU72669.1, ALU73628.1
OG0000334			ALU69731.1, ALU70613.1, ALU70707.1, ALU71361.1, ALU72939.1
OG0000335			ALU70650.1, ALU71804.1, ALU73172.1, ALU73285.1, ALU73627.1
OG0000336			ALU71497.1, ALU72202.1, ALU72708.1, ALU73289.1, ALU73640.1
OG0000337	CAB11782.1, CAB13692.2	UDL01674.1	ALU68205.1
OG0000338	CAB11786.1, CAB14251.1, CAB14280.1		ALU71876.1
OG0000339	CAB11816.1, CAB13813.1, CAB13925.1, CAB15197.1		
OG0000340	CAB11833.1, CAB13256.1, CAB14727.1, CAB14983.1		
OG0000341	CAB11845.1	UDK99763.1, UDL00162.1	ALU73155.1
OG0000342	CAB11850.1, CAB14184.1	UDL00860.1	ALU70749.1
OG0000343	CAB11851.1	UDL00839.1	ALU68188.1, ALU68813.1
OG0000344	CAB11853.1	UDK99368.1	ALU73153.1, ALU73457.1
OG0000345	CAB11857.1, CAB12632.1	UDL01453.1	ALU69403.1
OG0000346	CAB11914.1	UDL00431.1	ALU71448.1, ALU72005.1
OG0000347	CAB11937.2, CAB12189.1, CAB15336.1		ALU70985.1
OG0000348	CAB11945.1, CAB12648.1		ALU68394.1, ALU72663.1
OG0000349	CAB11954.1, CAB11983.1	UDK99498.1	ALU71978.1
OG0000350	CAB11956.1, CAB12630.1	UDL01573.1	ALU68996.1
OG0000351	CAB11985.2, CAB15764.1	UDL02296.1	ALU72076.1
OG0000352	CAB11993.2		ALU68150.1, ALU69109.1, ALU73594.1
OG0000353	CAB12004.1	UDL00800.1, UDL01484.1	ALU69214.1
OG0000354	CAB12010.1	UDK99853.1, UDK99854.1	ALU70099.1
OG0000355	CAB12033.1, CAB15881.2	UDL00712.1	ALU70531.1
OG0000356	CAB12034.1, CAB15803.1, CAB15975.2, CAB16070.1		
OG0000357	CAB12035.1, CAB12941.1	UDL00110.1	ALU70903.1
OG0000358	CAB12058.2, CAB12418.1	UDK99969.1	ALU70925.1
OG0000359	CAB12063.1	UDL01372.1	ALU68600.1, ALU73436.1
OG0000360	CAB12066.1, CAB15547.1	UDK99756.1	ALU71738.1
OG0000361	CAB12069.1, CAB12660.2	UDL00076.1	ALU69745.1
OG0000362	CAB12082.2, CAB14893.1, CAB15836.1	UDK99789.1	
OG0000363	CAB12106.3	UDK99791.1	ALU71136.1, ALU71137.1
OG0000364	CAB12114.1, CAB15274.1	UDK99977.1	ALU69488.1
OG0000365	CAB12135.1, CAB15962.2, CAB16048.1		ALU71189.1
OG0000366	CAB12198.1	UDL01809.1	ALU67667.1, ALU68676.1
OG0000367	CAB12214.3, CAB12243.1	UDL00787.1	ALU69059.1
OG0000368	CAB12216.2	UDL02045.1	ALU69000.1, ALU73082.1
OG0000369	CAB12232.1, CAB12474.2	UDK99400.1	ALU73274.1
OG0000370	CAB12233.1, CAB13485.1	UDL00488.1	ALU67733.1
OG0000371	CAB12252.1, CAB12587.1, CAB15141.1		ALU72830.1
OG0000372	CAB12271.1, CAB13648.1	UDL00221.1	ALU71975.1
OG0000373	CAB12316.1, CAB12326.1	UDL01745.1	ALU69541.1
OG0000374	CAB12337.1, CAB14588.2, CAB15616.1		ALU71921.1
OG0000375	CAB12357.1, CAB12652.1	UDL00907.1	ALU69810.1
OG0000376	CAB12391.2, CAB13079.1, CAB13834.2		ALU72815.1
OG0000377	CAB12393.2, CAB12780.2	UDL02176.1	ALU71910.1
OG0000378	CAB12406.1, CAB13059.1, CAB15596.1	UDL01828.1	
OG0000379	CAB12435.1, CAB13088.1, CAB13641.2		ALU70676.1
OG0000380	CAB12452.2	UDK99798.1, UDL00068.1	ALU71021.1
OG0000381	CAB12456.1, CAB14977.1	UDL01955.1	ALU69566.1
OG0000382	CAB12464.1	UDL01209.1	ALU68944.1, ALU72841.1
OG0000383	CAB12473.1, CAB15798.1	UDL00537.1	ALU72855.1
OG0000384	CAB12493.1, CAB12631.1	UDK99437.1	ALU71219.1
OG0000385	CAB12496.1	UDL01289.1, UDL01895.1, UDL01896.1	
OG0000386	CAB12517.1	UDL00543.1	ALU68313.1, ALU70028.1
OG0000387	CAB12532.1, CAB12647.1, CAB15008.1, CAB15882.1		
OG0000388	CAB12542.1	UDL02199.1	ALU68082.1, ALU73466.1
OG0000389	CAB12545.2, CAB12600.1, CAB14415.2, CAB15341.1		
OG0000390	CAB12572.1		ALU70990.1, ALU70992.1, ALU71631.1
OG0000391	CAB12577.1		ALU68927.1, ALU69683.1, ALU69864.1
OG0000392	CAB12590.1, CAB14627.1, CAB15932.2		ALU72486.1
OG0000393	CAB12594.1	UDL00190.1, UDL00946.1	ALU69373.1
OG0000394	CAB12614.1, CAB14644.2	UDL00329.1	ALU68400.1
OG0000395	CAB12688.1, CAB13146.2, CAB13196.1		ALU71517.1
OG0000396	CAB12699.3, CAB14772.1	UDK99735.1	ALU72208.1
OG0000397	CAB12710.2, CAB15889.1	UDL01044.1	ALU67799.1
OG0000398	CAB12747.1	UDK99687.1, UDL01798.1	ALU67929.1
OG0000399	CAB12752.1	UDL00708.1, UDL01604.1	ALU70904.1
OG0000400	CAB12757.2	UDL00986.1	ALU69587.1, ALU71820.1
OG0000401	CAB12762.1	UDK99802.1	ALU71620.1, ALU71994.1
OG0000402	CAB12800.1	UDK99385.1	ALU71640.1, ALU71641.1
OG0000403	CAB12814.1, CAB13220.1, CAB13886.1, CAB14935.1		
OG0000404	CAB12823.2, CAB14492.2	UDK99335.1	ALU70401.1
OG0000405	CAB12826.1, CAB14723.1	UDL00282.1	ALU71237.1
OG0000406	CAB12850.1	UDK99469.1, UDK99630.1	ALU73117.1
OG0000407	CAB12890.1	UDL02077.1	ALU71863.1, ALU73037.1
OG0000408	CAB12915.1	UDL00696.1	ALU71565.1, ALU73401.1
OG0000409	CAB12919.2, CAB15032.1, CAB16028.2		ALU70541.1
OG0000410	CAB12921.1, CAB13720.2, CAB14089.1	UDK99958.1	
OG0000411	CAB12933.2, CAB13431.1	UDL01795.1	ALU70398.1
OG0000412	CAB12963.2, CAB16071.1	UDK99960.1	ALU70811.1
OG0000413	CAB12964.2, CAB13425.1	UDK99856.1	ALU71089.1
OG0000414	CAB12965.3, CAB13426.1	UDK99841.1	ALU71088.1
OG0000415	CAB12996.2	UDK99553.1, UDL00661.1	ALU72922.1
OG0000416	CAB13001.1, CAB13150.1	UDL00103.1	ALU67748.1
OG0000417	CAB13017.1, CAB15874.1	UDL00717.1	ALU72048.1
OG0000418	CAB13023.1, CAB15855.1	UDL01947.1	ALU72395.1
OG0000419	CAB13027.1, CAB13300.1	UDL01291.1	ALU71708.1
OG0000420	CAB13103.1, CAB13138.1, CAB14512.1, CAB14531.1		
OG0000421	CAB13105.1, CAB13611.1, CAB13666.1, CAB13938.1		
OG0000422	CAB13126.2, CAB14543.1	UDL00045.1	ALU70154.1
OG0000423	CAB13141.2	UDL00075.1	ALU70511.1, ALU72183.1
OG0000424	CAB13145.2, CAB16086.2		ALU70668.1, ALU72862.1
OG0000425	CAB13160.2	UDL01640.1, UDL02231.1	ALU68628.1
OG0000426	CAB13230.1		ALU67671.1, ALU70079.1, ALU72282.1
OG0000427	CAB13231.1, CAB15796.1	UDL01290.1	ALU69995.1
OG0000428	CAB13263.1, CAB15479.1		ALU70193.1, ALU71277.1
OG0000429	CAB13264.2	UDL02202.1	ALU70194.1, ALU71273.1
OG0000430	CAB13269.1	UDK99681.1	ALU70201.1, ALU70721.1
OG0000431	CAB13295.1	UDL01268.1	ALU70475.1, ALU71259.1
OG0000432	CAB13301.1	UDK99287.1	ALU69795.1, ALU71628.1
OG0000433	CAB13326.1, CAB13551.2	UDL01848.1	ALU71313.1
OG0000434	CAB13331.1	UDL00124.1	ALU68258.1, ALU70173.1
OG0000435	CAB13334.1, CAB14337.2	UDL01389.1	ALU69598.1
OG0000436	CAB13381.1	UDL01385.1	ALU69784.1, ALU71538.1
OG0000437	CAB13387.1, CAB15027.1	UDL00931.1	ALU70581.1
OG0000438	CAB13389.2, CAB13390.2	UDL01730.1	ALU70583.1
OG0000439	CAB13391.1	UDK99493.1	ALU67835.1, ALU70584.1
OG0000440	CAB13392.2	UDL00901.1	ALU70204.1, ALU70586.1
OG0000441	CAB13406.2, CAB13407.1, CAB14277.1, CAB15313.2		
OG0000442	CAB13460.1	UDL00975.1	ALU69545.1, ALU71544.1
OG0000443	CAB13497.2, CAB15698.1	UDK99872.1	ALU70247.1
OG0000444	CAB13526.1	UDL01458.1	ALU69926.1, ALU70432.1
OG0000445	CAB13530.1	UDL00389.1	ALU71422.1, ALU73020.1
OG0000446	CAB13536.1	UDL00868.1	ALU70352.1, ALU71405.1
OG0000447	CAB13553.3, CAB14959.2	UDK99587.1	ALU71311.1
OG0000448	CAB13573.1, CAB15000.1	UDL01366.1	ALU70638.1
OG0000449	CAB13621.1, CAB13899.2	UDL02232.1	ALU71617.1
OG0000450	CAB13622.1, CAB13898.2	UDL02233.1	ALU71616.1
OG0000451	CAB13623.1, CAB13896.2	UDL02234.1	ALU71613.1
OG0000452	CAB13636.1	UDL00628.1	ALU71454.1, ALU73067.1
OG0000453	CAB13645.1, CAB13748.1, CAB16043.1		ALU69710.1
OG0000454	CAB13669.1	UDL02091.1	ALU68849.1, ALU71270.1
OG0000455	CAB13727.2	UDK99382.1	ALU68167.1, ALU70758.1
OG0000456	CAB13728.2	UDK99383.1	ALU68168.1, ALU70757.1
OG0000457	CAB13741.2, CAB14312.1	UDL00619.1	ALU72238.1
OG0000458	CAB13769.1, CAB15405.1	UDK99339.1	ALU67834.1
OG0000459	CAB13772.1	UDK99619.1, UDL01033.1	ALU72866.1
OG0000460	CAB13814.1, CAB14218.1	UDL00409.1	ALU70363.1
OG0000461	CAB13832.1	UDL00640.1, UDL01972.1	ALU72379.1
OG0000462	CAB13942.1		ALU69240.1, ALU69671.1, ALU73653.1
OG0000463	CAB14023.1, CAB14195.1	UDL01844.1	ALU71557.1
OG0000464	CAB14068.2, CAB14303.1, CAB14319.2		ALU70425.1
OG0000465	CAB14171.1	UDK99621.1	ALU70546.1, ALU72779.1
OG0000466	CAB14199.1	UDL01611.1	ALU68916.1, ALU71553.1
OG0000467	CAB14245.2, CAB14776.2	UDK99540.1	ALU72203.1
OG0000468	CAB14248.2, CAB14982.2	UDL00053.1	ALU70837.1
OG0000469	CAB14270.1	UDL00833.1	ALU70229.1, ALU70291.1
OG0000470	CAB14287.1, CAB14882.1		ALU70042.1, ALU73576.1
OG0000471	CAB14311.1	UDL01113.1	ALU69029.1, ALU70122.1
OG0000472	CAB14317.2	UDL00684.1	ALU71049.1, ALU73475.1
OG0000473	CAB14340.2, CAB15793.1	UDK99284.1	ALU72401.1
OG0000474	CAB14348.1	UDL00207.1	ALU70258.1, ALU72673.1
OG0000475	CAB14352.1		ALU69053.1, ALU69637.1, ALU73430.1
OG0000476	CAB14364.2	UDL01106.1	ALU72105.1, ALU72579.1
OG0000477	CAB14377.1	UDL00370.1, UDL01652.1	ALU71096.1
OG0000478	CAB14383.2	UDL01539.1	ALU71248.1, ALU71395.1
OG0000479	CAB14432.3	UDL00402.1	ALU68060.1, ALU69328.1
OG0000480	CAB14450.2	UDL00066.1	ALU71234.1, ALU71245.1
OG0000481	CAB14488.2	UDL00531.1	ALU70405.1, ALU72518.1
OG0000482	CAB14503.1	UDK99617.1, UDL01612.1	ALU69635.1
OG0000483	CAB14508.2	UDL00307.1	ALU69500.1, ALU70340.1
OG0000484	CAB14606.1	UDL00237.1	ALU68049.1, ALU72456.1
OG0000485	CAB14612.1	UDK99811.1	ALU69515.1, ALU70651.1
OG0000486	CAB14613.1, CAB15628.1	UDL00954.1	ALU69516.1
OG0000487	CAB14637.1, CAB14640.1, CAB16090.1, CAX52583.1		
OG0000488	CAB14684.1	UDL00732.1	ALU70778.1, ALU71288.1
OG0000489	CAB14689.1	UDL00963.1	ALU70070.1, ALU73003.1
